Date,GHI,DNI,DHI,T_amb,RH,WS,WS_gst,WD,WD_st_dev,BP
2016-09-07,280.38513513513516,125.42972972972973,169.39324324324323,24.88554054054054,65.79594594594595,3.1893243243243243,4.855405405405405,113.0027027027027,18.691216216216215,1005.972972972973
2016-09-08,477.32244897959185,457.10884353741494,184.2421768707483,25.48721088435374,60.93061224489796,3.395374149659864,5.120136054421769,94.61496598639455,17.878231292517007,1005.1006802721089
2016-09-09,559.3092643051771,643.4604904632153,106.91553133514986,26.744141689373297,54.0,2.9434604904632153,4.505040871934605,118.16212534059946,19.30231607629428,1005.3746594005449
2016-09-10,473.8550135501355,332.4227642276423,210.4119241192412,26.085907859078592,62.21138211382114,3.9456639566395664,5.8867208672086715,101.98509485094851,19.019376693766937,1006.5962059620596
2016-09-11,385.3152909336942,212.5466847090663,233.7997293640054,25.045466847090662,66.37753721244925,2.8700947225981057,4.418132611637348,115.65223274695535,17.16914749661705,1005.6021650879567
2016-09-12,482.3342354533153,463.03924221921517,167.6657645466847,26.490527740189446,53.968876860622466,3.16319350473613,4.886468200270635,135.49526387009473,18.347767253044655,1004.5683355886333
2016-09-13,502.62330623306235,433.050135501355,193.96747967479675,25.696341463414637,59.67750677506775,3.3682926829268296,5.080081300813008,125.25880758807588,19.657588075880756,1004.3062330623306
2016-09-14,309.57181571815715,117.14634146341463,231.61517615176152,25.842276422764225,58.43224932249323,3.444579945799458,5.311788617886179,118.53658536585365,19.76910569105691,1004.0284552845528
2016-09-15,541.6116373477672,427.60757780784843,215.97564276048715,25.607577807848443,60.81326116373478,2.903382949932341,4.43342354533153,122.87009472259811,19.677943166441136,1003.3328822733423
2016-09-16,515.6319350473613,470.6874154262517,160.84573748308526,25.905006765899863,56.997293640054124,3.1922868741542625,4.81637347767253,98.39512855209743,18.87320703653586,1003.4167794316644
2016-09-17,429.6364864864865,263.6621621621622,246.00675675675674,25.506216216216213,59.204054054054055,3.8113513513513513,5.6390540540540535,106.54594594594595,17.53162162162162,1004.3121621621622
2016-09-18,446.60945945945946,383.58513513513515,196.82027027027027,26.245945945945945,47.23108108108108,4.112027027027027,6.262162162162162,119.90675675675676,19.64148648648649,1005.722972972973
2016-09-19,529.5835579514825,454.10377358490564,183.46495956873315,25.855390835579517,56.660377358490564,4.133153638814016,6.288948787061994,111.64285714285714,21.175606469002695,1005.4959568733153
2016-09-20,464.2078272604588,380.40620782726046,184.085020242915,26.343049932523616,55.202429149797574,3.66221322537112,5.656545209176788,157.08097165991902,20.732388663967612,1003.7341430499325
2016-09-21,360.0527027027027,255.80945945945945,214.75945945945946,25.25581081081081,57.101351351351354,3.17945945945946,4.756081081081081,122.86891891891892,18.710405405405407,1004.2986486486486
2016-09-22,289.5067567567568,139.67297297297299,199.1945945945946,25.86162162162162,61.82027027027027,3.339459459459459,5.08054054054054,130.5918918918919,20.18162162162162,1005.3243243243244
2016-09-23,361.3621621621622,182.42567567567568,227.24594594594595,25.7222972972973,64.31621621621622,3.739459459459459,5.728783783783784,108.52972972972972,20.012972972972975,1004.4513513513514
2016-09-24,551.1835357624831,452.55330634278005,177.3562753036437,25.968960863697706,61.07017543859649,3.9188933873144403,5.798785425101214,97.51417004048584,18.838191632928474,1003.1120107962213
2016-09-25,512.6508795669824,405.4912043301759,204.2002706359946,25.73572395128552,64.79837618403248,3.1219215155615694,4.662110960757781,107.18673883626522,18.100947225981056,1002.0487144790258
2016-09-26,553.6873315363881,471.7830188679245,164.26280323450135,26.386927223719674,58.706199460916444,3.5340970350404315,5.337196765498652,105.5,19.106469002695416,1002.7479784366577
2016-09-27,251.11244979919678,97.42436412315931,186.32128514056225,25.31218206157965,66.23025435073627,3.1174029451137883,4.734538152610441,150.7884872824632,19.367469879518072,1003.6680053547524
2016-09-28,177.01181102362204,2.8372703412073492,174.06167979002623,24.34015748031496,76.49606299212599,3.031496062992126,4.652230971128609,124.66929133858268,19.17979002624672,1004.505249343832
2016-09-29,415.53306342780024,193.9460188933873,274.195681511471,25.65910931174089,67.13225371120107,3.51025641025641,5.297840755735493,97.68825910931174,18.472334682861,1004.8529014844804
2016-09-30,427.2691790040377,318.19380888290715,217.80619111709288,25.751682368775235,64.29878869448183,3.2340511440107673,4.873889636608345,102.01884253028264,18.934051144010766,1003.2153432032302
2016-10-01,558.5895020188425,522.6985195154778,164.59623149394346,26.018707940780622,60.40915208613728,3.4039030955585465,5.069986541049798,101.60969044414536,18.783310901749662,1000.9690444145357
2016-10-02,595.8013333333333,582.0426666666667,155.544,26.10333333333333,62.728,3.8972,5.784933333333333,97.48933333333333,18.561466666666668,1000.7413333333334
2016-10-03,567.4530831099196,516.0764075067024,165.73994638069706,26.1455764075067,65.33914209115281,2.8828418230563,4.334450402144772,97.17962466487936,17.818900804289544,1001.2332439678285
